REG NUMBER,VIN,MAKE,MODEL,COLOR,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
LB21JGV,340149,VOLKSWAGEN,GOLF,Grey,24/06/2025,3022025,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
HS73EVT,134904,SKODA,FABIA,Silver,24/06/2025,3022028,Richmond Škoda Southampton,Broad Oak,,Botley,SO30 2EU,,1489785111,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
VN73ERK,N17158,BMW,2 SERIES,Grey,24/06/2025,3022029,Johnsons Volkswagen Stourbridge,Millennium House,,STOURBRIDGE,DY8 4AH,,1384397600,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
PG73XHT,027443,VOLKSWAGEN,TIGUAN,Grey,24/06/2025,3022030,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
LS22NVX,110562,NISSAN,QASHQAI,Blue,24/06/2025,3022035,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
GY22HLE,157323,HYUNDAI,BAYON,Gold,24/06/2025,3022036,Tates Cars Hyundai Portslade,94-106 Old Shoreham Road,,Portslade,BN41 1TA,,1273276666,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,AC01,
