REG NUMBER,VIN,MAKE,MODEL,COLOR,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DA22OUB,157892,KIA,E-NIRO,Blue,24/06/2025\,3022515,Lookers Kia Chester,302 Sealand Road,,Chester,CH1 4LQ,,1244394300,27/06/2025,Chesterfield Motorstore,Meltham Way,,Chesterfield,S41 7LG,,1246956450,Must call 1hour before collection and get a name,,AC01,
FN25NXO,022271,VOLKSWAGEN,GOLF,Grey,24/06/2025\,3022529,Parkway Volkswagen Leicester,LEICESTER,,LEICESTER,LE1 3EA,,,27/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EA22ORN,534153,KIA,NIRO,White,24/06/2025\,3022531,Arnold Clark Peugeot Newcastle,Wingrove Motor Company,Elm Road,Newcastle,NE29 8SD,,1912953000,27/06/2025,Manchester Vauxhall,Del To Storage Compound,Thornbury Road,Manchester,M32 0RB,,7857916554,Must call 1hour before collection and get a name,,AC01,
YHZ6174,141035,VOLKSWAGEN,GOLF,Grey,24/06/2025\,3022534,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,27/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
EY25MLO,010531,NISSAN,X-TRAIL,Silver,24/06/2025\,3022541,Glyn Hopkin Nissan East London,1021 Romford Road,,LONDON,E12 5LH,,2081315141,27/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
LV24FYP,014433,NISSAN,JUKE,Black,24/06/2025\,3022545,Ancaster Nissan Eltham,43-45 High Street,,London,SE9 1DH,,2083316900,27/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,AC01,
