REG NUMBER,VIN,MAKE,MODEL,COLOR,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
YP25OSC,106470,NISSAN,JUKE,Silver,24/06/2025,3021967,Vertu Nissan Sheffield,Attercliffe Road,,Sheffield,S4 7WW,,3445586556,27/06/2025,4 Arnold Clark Accrington Logistics Hub,Henry St,,Accrington,BB5 4EQ,,7775022311,Must call 1hour before collection and get a name,,BC04,
DY73LKV,J33544,FORD,FOCUS,White,24/06/2025,3021968,Furrows Ford Shrewsbury,Benbow Business Park,,SHREWSBURY,SY1 3EQ,,1743454444,27/06/2025,18 Arnold Clark Stoke Logistics Hub,Linley Road,"Talke, Kidsgrove",Stoke On Trent,ST7 1GL,,1782968610,Must call 1hour before collection and get a name,,BC04,
WJ74HUV,492284,HYUNDAI,BAYON,Green,24/06/2025,3021970,Snows Toyota Paignton,59 Totnes Road,,Paignton,TQ3 3RE,,1803559362,27/06/2025,Dumfries Renault/Dacia,361 Annan Rd,,Dumfries,DG1 3JR,,1387340850,Must call 1hour before collection and get a name,,BC04,
NV74HOA,544956,HYUNDAI,I20,Blue,24/06/2025,3021972,Vertu Hyundai Peterlee,3 Mill Hill,,Peterlee,SR8 2HR,,3445586421,27/06/2025,Dumfries Renault/Dacia,361 Annan Rd,,Dumfries,DG1 3JR,,1387340850,Must call 1hour before collection and get a name,,BC04,
PJ24JYT,098229,VOLKSWAGEN,TIGUAN,White,24/06/2025,3021973,Johnsons VW Liverpool,38 Derby Road,,Liverpool,L20 1AB,,1519223344,27/06/2025,Dumfries Renault/Dacia,361 Annan Rd,,Dumfries,DG1 3JR,,1387340850,Must call 1hour before collection and get a name,,BC04,
WU74OHR,043848,SKODA,FABIA,Black,24/06/2025,3021978,Platinum Škoda Bath,Lower Bristol Road,,BATH,BA2 3DN,,1225485400,27/06/2025,Dumfries Renault/Dacia,361 Annan Rd,,Dumfries,DG1 3JR,,1387340850,Must call 1hour before collection and get a name,,BC04,
LB21JGV,340149,VOLKSWAGEN,GOLF,Grey,24/06/2025,3022025,IT Fleet Loughborough,The Driving Centre,,Loughborough,LE12 5SH,,7483095739,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,BC04,
HS73EVT,134904,SKODA,FABIA,Silver,24/06/2025,3022028,Richmond Škoda Southampton,Broad Oak,,Botley,SO30 2EU,,1489785111,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,BC04,
VN73ERK,N17158,BMW,2 SERIES,Grey,24/06/2025,3022029,Johnsons Volkswagen Stourbridge,Millennium House,,STOURBRIDGE,DY8 4AH,,1384397600,27/06/2025,West Bromwich Motorstore,Millennium Park,New Swan Lane,West Bromwich,B70 0NR,,1218173570,Must call 1hour before collection and get a name,,BC04,
